"who_retweet","who_post","weight"
"str_1040645966","str_434956607",7
"str_1040645966","str_861436278755033089",1
"str_1040645966","str_974819163305848833",9
"str_1042062341116973056","str_106252738",1
"str_10424292","str_1077365580",6
"str_10424292","str_1320331676",2
"str_10424292","str_133122139",2
"str_10424292","str_19237004",1
"str_10424292","str_28696353",1
"str_10424292","str_3439313823",5
"str_10424292","str_61871092",4
"str_10424292","str_755872938084147200",3
"str_10424292","str_77098233",1
"str_1043702558","str_17572116",1
"str_1043702558","str_33611450",1
"str_1049530141565698049","str_14466551",1
"str_1049530141565698049","str_16451101",1
"str_1049530141565698049","str_169586297",3
"str_1049530141565698049","str_26276316",1
"str_1049530141565698049","str_4842843378",12
"str_1049530141565698049","str_789492350120624128",5
"str_105152728","str_16451101",6
"str_105152728","str_58773116",1
"str_105152728","str_924553015",1
"str_105152728","str_96161390",1
"str_105336659","str_118198589",2
"str_105336659","str_139593662",23
"str_105336659","str_17091701",1
"str_105336659","str_20644994",4
"str_105336659","str_4817114249",1
"str_105336659","str_715613647758819330",1
"str_105336659","str_984917712412598273",4
"str_1053736513","str_3242677586",2
"str_1053862729","str_940472210",1
"str_1055886207161458690","str_1320331676",4
"str_1055886207161458690","str_17327933",3
"str_1055886207161458690","str_19237004",1
"str_1055886207161458690","str_19538697",1
"str_1055886207161458690","str_2180201223",2
"str_1055886207161458690","str_990085837",1
"str_1056412284","str_143214225",1
"str_1058380976500498438","str_133165344",2
"str_1058380976500498438","str_158715755",3
"str_1058380976500498438","str_160625658",1
"str_1058380976500498438","str_17168851",4
"str_1058380976500498438","str_175847438",4
"str_1058380976500498438","str_3065062453",1
"str_1058380976500498438","str_356903515",4
"str_1058380976500498438","str_364632749",5
"str_1058380976500498438","str_77098233",1
"str_1058380976500498438","str_850011900113018881",2
"str_1058726616","str_3299533143",2
"str_1060727293","str_158715755",1
"str_1060727293","str_17168851",1
"str_1060727293","str_23442668",1
"str_1060727293","str_392933208",2
"str_1061102195003809793","str_175847438",4
"str_1061102195003809793","str_77098233",1
"str_1061102195003809793","str_771856099",2
"str_1061102195003809793","str_836672982437117952",1
"str_1061102195003809793","str_928876209211166721",1
"str_1061281091099729920","str_108427276",2
"str_1061281091099729920","str_115576195",1
"str_1061281091099729920","str_15663169",1
"str_1061281091099729920","str_2153645966",8
"str_1061281091099729920","str_2289003747",2
"str_1061298402","str_1021756901065928710",6
"str_1061298402","str_139593662",1
"str_1061298402","str_2721891557",1
"str_1061298402","str_2906574983",2
"str_1061298402","str_3363440495",1
"str_1061298402","str_392077251",4
"str_1061298402","str_410121512",1
"str_1061298402","str_479093108",1
"str_1061298402","str_4817114249",3
"str_1061337968","str_17091701",2
"str_1061337968","str_391205502",1
"str_1061337968","str_478592159",1
"str_106148085","str_134600022",5
"str_106148085","str_15743939",1
"str_106148085","str_16785950",1
"str_106252738","str_25728028",3
"str_106252738","str_66562891",5
"str_106288927","str_475287482",5
"str_1063178738265874433","str_4785669133",1
"str_1063178738265874433","str_4863545294",1
"str_1064151020","str_16451101",11
"str_1064151020","str_169586297",10
"str_1064151020","str_2979059877",1
"str_1064151020","str_4842843378",1
"str_1064151020","str_789492350120624128",4
"str_1064621478312927232","str_27628064",1
"str_1064713318114516992","str_1087394850532741123",2
"str_1066071309501808643","str_1209822847755010048",1
"str_1066071309501808643","str_1367793234",3
"str_1066071309501808643","str_16936014",4
"str_1066071309501808643","str_409652472",1
"str_1066071309501808643","str_41956692",8
"str_1066345612092821505","str_134600022",2
"str_1066345612092821505","str_16785950",5
"str_1066345612092821505","str_169586297",1
"str_1066345612092821505","str_181374332",8
"str_1066345612092821505","str_860291474189168640",2
"str_1066345612092821505","str_939977297330876416",1
"str_1067110607269314561","str_796918462954225664",1
"str_1067812647322755073","str_20649298",1
"str_106836676","str_49747296",1
"str_106836676","str_55720891",2
"str_1068476821","str_126456854",1
"str_1068476821","str_153645335",3
"str_1068476821","str_159633273",21
"str_1068476821","str_172114546",8
"str_1068476821","str_18361437",1
"str_1068476821","str_25241040",1
"str_1068476821","str_262794246",8
"str_1068476821","str_2917685440",1
"str_1068476821","str_295906042",1
"str_1068476821","str_2985422619",2
"str_1068476821","str_30380250",2
"str_1068476821","str_3195934863",3
"str_1068476821","str_32962571",20
"str_1068476821","str_37052689",8
"str_1068476821","str_37727891",1
"str_1068476821","str_5507352",2
"str_1068476821","str_600663197",1
"str_1068476821","str_82240115",4
"str_1069016744","str_108027128",1
"str_1069016744","str_16100125",16
"str_1069016744","str_4074051493",4
"str_1069016744","str_43537323",1
"str_1069016744","str_583417013",3
"str_1069016744","str_80698005",1
"str_1069165872","str_1362119390",1
"str_1069165872","str_2340659774",1
"str_1069310440851697664","str_15211944",1
"str_1069312946071851008","str_109901017",1
"str_1069312946071851008","str_22481727",1
"str_1069634562605617155","str_26078159",8
"str_1069634562605617155","str_33801008",3
"str_1069634562605617155","str_374458646",2
"str_1069634562605617155","str_42658483",27
"str_1069634562605617155","str_808346877582331904",4
"str_1069967034275020800","str_234520842",9
"str_1069967034275020800","str_246283063",1
"str_1069967034275020800","str_2567035850",1
"str_1069967034275020800","str_451147000",15
"str_1069967034275020800","str_96419810",2
"str_1070051454235303936","str_2340659774",1
"str_1070051454235303936","str_56812053",5
"str_1070051454235303936","str_835541282994860033",8
"str_1070051454235303936","str_967214466902315008",20
"str_1070073893853876224","str_274841062",1
"str_1070390359044304897","str_126456854",2
"str_1070390359044304897","str_159633273",4
"str_1070390359044304897","str_25241040",4
"str_1070390359044304897","str_262794246",1
"str_1070390359044304897","str_2917685440",2
"str_1070390359044304897","str_295906042",1
"str_1070390359044304897","str_37052689",2
"str_1070390359044304897","str_37727891",1
"str_1070390359044304897","str_5507352",1
"str_1070451657459359747","str_818524048888131584",9
"str_1071095291036819458","str_87464481",10
"str_1071474240640172034","str_771856099",10
"str_1071474240640172034","str_928876209211166721",1
"str_107172480","str_20649298",1
"str_107172480","str_41637247",1
"str_1071840097","str_153106114",1
"str_1071840097","str_2460037322",2
"str_1071840097","str_360709597",2
"str_1071840097","str_767503544144498690",1
"str_1073882673276485633","str_226330560",1
"str_1073882673276485633","str_23802600",1
"str_1073882673276485633","str_33795371",1
"str_1074263528","str_132174002",1
"str_1074263528","str_37816357",1
"str_1074263528","str_38542361",2
"str_1074263528","str_43038546",8
"str_1074799994136231937","str_2334731485",2
"str_1074799994136231937","str_248493732",2
"str_1075274689696751616","str_1636888243",1
"str_1075274689696751616","str_717432695131738113",1
"str_1075274689696751616","str_95357369",1
"str_1075501772645511169","str_39391326",1
"str_1077365580","str_169586297",2
"str_1077365580","str_175847438",2
"str_1077365580","str_19237004",1
"str_1077365580","str_2334731485",1
"str_1077365580","str_26583978",2
"str_1077365580","str_28696353",1
"str_1077365580","str_364632749",1
"str_1077365580","str_61871092",1
"str_1077365580","str_755872938084147200",1
"str_1077365580","str_990085837",1
"str_1077987428156219392","str_37816357",2
"str_1077987428156219392","str_857410425444597760",1
"str_1078430930640007170","str_1661203730",1
"str_1078688233096130562","str_1202232394796978180",1
"str_107953674","str_301034022",4
"str_107953674","str_55372193",11
"str_1079883402772389894","str_16785950",11
"str_1079883402772389894","str_181374332",3
"str_1079883402772389894","str_214169085",1
"str_1079883402772389894","str_21883063",4
"str_108027128","str_16100125",13
"str_1080573437054238720","str_175847438",4
"str_1080905976524562433","str_451147000",1
"str_1081174082","str_1132156746",10
"str_1081174082","str_1594536769",2
"str_1081715637444116480","str_1077365580",2
"str_1081715637444116480","str_1320331676",1
"str_1081715637444116480","str_3439313823",1
"str_1081715637444116480","str_61871092",2
"str_1081715637444116480","str_755872938084147200",1
"str_1081715637444116480","str_990085837",3
"str_108195729","str_33267613",1
"str_108195729","str_771181449961611265",1
"str_1082368596511207424","str_36726020",11
"str_1082388397094723584","str_28452689",1
"str_1082388397094723584","str_49421426",1
"str_1082396937549242374","str_16150792",1
"str_1082396937549242374","str_973601189144219649",2
"str_1082688030106963968","str_26078159",4
"str_1082688030106963968","str_808346877582331904",1
"str_1082721161635614729","str_33801008",1
"str_1082758227568279554","str_103744112",4
"str_1082758227568279554","str_214169085",1
"str_1083129923055697920","str_49747296",1
"str_1084256611173056512","str_131564093",1
"str_1084256611173056512","str_18657125",1
"str_1084256611173056512","str_295906042",1
"str_1084256611173056512","str_4271386823",1
"str_108427276","str_15663169",3
"str_108427276","str_2289003747",1
"str_108427276","str_257302726",1
"str_108427276","str_562833413",1
"str_1084358408","str_108027128",1
"str_1084358408","str_16100125",13
"str_1084358408","str_34740140",15
"str_1084358408","str_4074051493",1
"str_1084358408","str_80698005",6
"str_1084674918061461504","str_123044424",1
"str_1085249463105445888","str_3188152800",1
"str_1085266124227440642","str_47414934",3
"str_1085283794972684288","str_118854018",1
"str_1085516199545458689","str_32820923",6
"str_1085516199545458689","str_713426736",1
"str_1085516199545458689","str_95357369",1
"str_1085566038572453888","str_317560731",1
"str_1085632599308021762","str_36726020",3
"str_1085651041536827392","str_2340659774",1
"str_1085651041536827392","str_56812053",1
"str_1085651041536827392","str_967214466902315008",1
"str_1085674220149825536","str_123044424",1
"str_1085702935202254848","str_3761644334",1
"str_1086033323212697600","str_2268036854",3
"str_1086033323212697600","str_249448443",1
"str_1086033323212697600","str_264599055",1
"str_1086113767665020928","str_13028602",6
"str_1086113767665020928","str_15186725",1
"str_1086113767665020928","str_18251714",11
"str_1086113767665020928","str_979140480096071680",13
"str_1086113767665020928","str_991472006406303744",3
"str_1086310626627121152","str_21534627",1
"str_1086310626627121152","str_33267613",1
"str_1086310626627121152","str_970751602364682242",2
"str_1086977744","str_2328050107",1
"str_1086977744","str_2905955679",1
"str_1086977744","str_70591921",3
"str_1087037022085144576","str_17798559",3
"str_1087037022085144576","str_21696469",3
"str_1087037022085144576","str_31957561",3
"str_1087037022085144576","str_49421426",3
"str_1087037022085144576","str_49747296",4
"str_1087037022085144576","str_621130507",1
"str_1087037022085144576","str_829373968528269312",1
"str_1087394850532741123","str_17798559",5
"str_1087394850532741123","str_33267613",1
"str_1087394850532741123","str_970751602364682242",4
"str_1087452598829867008","str_23618718",1
"str_1087718919836762113","str_41637247",6
"str_1087726772471312384","str_46458451",1
"str_1087726772471312384","str_712839940195753985",2
"str_1088312068720087040","str_46534084",5
"str_1088312068720087040","str_86523551",18
"str_1088469640165117952","str_160625658",1
"str_1088469640165117952","str_16785950",1
"str_1088469640165117952","str_214169085",1
"str_1088469640165117952","str_21883063",13
"str_1089093544667725825","str_16451101",1
"str_1089093544667725825","str_169586297",1
"str_1089093544667725825","str_26276316",1
"str_1089093544667725825","str_751075331801485313",1
"str_1089830276","str_118664177",1
"str_1089830276","str_2460037322",1
"str_1089830276","str_2900023413",1
"str_1089830276","str_396817538",1
"str_1089830276","str_946532017",1
"str_1089892711","str_16204611",2
"str_1089892711","str_2873254919",16
"str_1089892711","str_3049332523",1
"str_1089892711","str_47972614",1
"str_1090344988519604224","str_3240070053",1
"str_1090344988519604224","str_475287482",1
"str_1090344988519604224","str_956017874899996672",1
"str_1090347115295969281","str_26078159",7
"str_1090347115295969281","str_33801008",2
"str_1090347115295969281","str_42658483",9
"str_1090347115295969281","str_808346877582331904",2
"str_1090384695261573120","str_434956607",2
"str_109110373","str_428779315",4
"str_109110373","str_49429772",2
"str_109110373","str_557833270",2
"str_1091522800521748480","str_2780696489",1
"str_1091522800521748480","str_755872938084147200",1
"str_1092431309849399297","str_245840159",1
"str_1092431309849399297","str_940024922394497024",1
"str_109290454","str_2343063307",1
"str_109290454","str_23802600",2
"str_1092905817207128069","str_771856099",1
"str_1093259342156103699","str_1096473809077583872",4
"str_1093259342156103699","str_175847438",1
"str_1093259342156103699","str_3065062453",1
"str_1095497624445218816","str_101829504",1
"str_1096434308","str_17168851",2
"str_1096434308","str_356903515",1
